Instance,Policy,Seed,Status,Nnodes,Fair Nodes,Gap,Integral
rmatr100-p5,tree,4,infeasible,1133,1133,0,4983.595282
rmatr200-p5,tree,0,timelimit,751,751,0.269899463,84011.81512
rmatr200-p5,tree,1,timelimit,435,435,0.306278697,89811.69954
rmatr200-p5,tree,2,timelimit,270,270,0.29058843,89356.35455
rmatr200-p5,tree,3,timelimit,411,411,0.30911356,92880.43481
rmatr200-p5,tree,4,timelimit,441,441,0.307582979,92990.07983
roi5alpha10n8,tree,0,timelimit,885,885,0.334053703,102079.8228
roi5alpha10n8,tree,1,timelimit,569,569,0.33792499,106156.5365
roi5alpha10n8,tree,2,timelimit,627,627,0.344026632,110101.0877
roi5alpha10n8,tree,3,timelimit,578,578,0.364126187,115033.9705
roi5alpha10n8,tree,4,timelimit,772,772,0.356729563,114416.0733
sp150x300d,tree,0,infeasible,741,741,0,18.12084673
sp150x300d,tree,1,infeasible,9075,9075,0,132.689677
sp150x300d,tree,2,infeasible,355345,355345,0,8449.970694
sp150x300d,tree,3,infeasible,46443,46443,0,439.9038503
sp150x300d,tree,4,infeasible,2037,2037,0,23.69560056
stein27,tree,0,infeasible,2805,2805,0,174.4722008
stein27,tree,1,infeasible,2761,2761,0,182.0713425
stein27,tree,2,infeasible,2871,2871,0,114.4929034
stein27,tree,3,infeasible,2761,2761,0,117.9137719
stein27,tree,4,infeasible,2899,2899,0,111.2543442
supportcase7,tree,0,infeasible,4005,4005,0,4230.731086
supportcase7,tree,1,infeasible,955,955,0,5202.742565
supportcase7,tree,2,infeasible,2114,2114,0,4529.122813
supportcase7,tree,3,infeasible,739,739,0,3935.032894
supportcase7,tree,4,infeasible,439,439,0,3135.569407
swath1,tree,0,infeasible,1630,1630,0,382.7960669
swath1,tree,1,infeasible,3314,3314,0,499.9323725
swath1,tree,2,infeasible,2888,2888,0,327.985891
swath1,tree,3,infeasible,1508,1508,0,203.4984479
swath1,tree,4,infeasible,1911,1911,0,310.442824
vpm2,tree,0,infeasible,243,243,0,18.86682208
vpm2,tree,1,infeasible,200,200,0,17.35306296
vpm2,tree,2,infeasible,225,225,0,14.30360754
vpm2,tree,3,infeasible,329,331,0,16.6097926
vpm2,tree,4,infeasible,316,316,0,17.63547819
30n20b8,ltbrant,0,infeasible,17,17,0,6672.176627
30n20b8,ltbrant,1,infeasible,32,32,0,13447.28333
30n20b8,ltbrant,2,infeasible,19,19,0,18163.03017
30n20b8,ltbrant,3,infeasible,28,28,0,30169.38099
30n20b8,ltbrant,4,infeasible,27,27,0,19318.57816
air04,ltbrant,0,infeasible,181,181,0,287.5273018
air04,ltbrant,1,infeasible,175,175,0,1618.262943
air04,ltbrant,2,infeasible,227,227,0,2539.205284
air04,ltbrant,3,infeasible,165,165,0,567.280417
air04,ltbrant,4,infeasible,181,181,0,3697.97086
air05,ltbrant,0,infeasible,407,407,0,144.5118399
air05,ltbrant,1,infeasible,401,401,0,210.9755416
air05,ltbrant,2,infeasible,241,241,0,272.4719678
air05,ltbrant,3,infeasible,143,143,0,309.3577959
air05,ltbrant,4,infeasible,407,407,0,238.4637436
cod105,ltbrant,0,timelimit,606,606,0.523809524,124337.7622
cod105,ltbrant,1,timelimit,334,334,0.523809524,124461.142
cod105,ltbrant,2,timelimit,195,195,0.523809524,124846.4186
cod105,ltbrant,3,timelimit,211,211,0.523809524,125906.6066
cod105,ltbrant,4,timelimit,390,390,0.523809524,124802.4513
comp21-2idx,ltbrant,0,timelimit,1397,1397,0.80472511,163759.1589
comp21-2idx,ltbrant,1,timelimit,600,600,0.788519637,163783.5405
comp21-2idx,ltbrant,2,timelimit,640,640,0.756090605,165437.2109
comp21-2idx,ltbrant,3,timelimit,621,621,0.647972645,159834.9452
comp21-2idx,ltbrant,4,timelimit,840,840,0.665163457,162115.6576
dcmulti,ltbrant,0,infeasible,47,79,0,4.694027993
dcmulti,ltbrant,1,infeasible,39,67,0,6.906457155
dcmulti,ltbrant,2,infeasible,39,77,0,3.251715211
dcmulti,ltbrant,3,infeasible,27,57,0,2.914707432
dcmulti,ltbrant,4,infeasible,21,59,0,6.916937158
eil33-2,ltbrant,0,infeasible,8467,8613,0,1313.343761
eil33-2,ltbrant,1,infeasible,9071,9165,0,1076.446586
eil33-2,ltbrant,2,infeasible,10315,10381,0,926.5848904
eil33-2,ltbrant,3,infeasible,9407,9417,0,549.96117
eil33-2,ltbrant,4,infeasible,7573,7735,0,610.7458811
istanbul-no-cutoff,ltbrant,0,infeasible,321,321,0,3369.902362
istanbul-no-cutoff,ltbrant,1,infeasible,473,473,0,3019.153182
istanbul-no-cutoff,ltbrant,2,infeasible,275,277,0,3078.74255
